Here are some great quotes for you to read: 

Quote on |Thu, 20 Jun 2024 20:25:54 GMT| :  If you owe the bank $100 that's your problem. If you owe the bank $100 million, that's the bank's problem. - J. Paul Getty
Quote on |Thu, 20 Jun 2024 20:35:36 GMT| :  So then, the relationship of self to other is the complete realization that loving yourself is impossible without loving everything defined as other than yourself. - Alan Watts
Quote on |Thu, 20 Jun 2024 20:44:37 GMT| :  Men of perverse opinion do not know the excellence of what is in their hands, till someone dash it from them. - Sophocles
Quote on |Thu, 20 Jun 2024 20:53:42 GMT| :  Where there is love there is life. - Mahatma Gandhi
Quote on |Thu, 20 Jun 2024 21:09:03 GMT| :  Everything that happens as it should, and if you observe carefully, you will find this to be so. - Marcus Aurelius
Quote on |Thu, 20 Jun 2024 21:23:21 GMT| :  The world turns aside to let any man pass who knows where he is going. - Epictetus
Quote on |Thu, 20 Jun 2024 21:33:26 GMT| :  Consult not your fears but your hopes and your dreams. Think not about your frustrations, but about your unfulfilled potential. Concern yourself not with what you tried and failed in, but with what it is still possible for you to do. - Pope John XXIII
Quote on |Thu, 20 Jun 2024 21:42:22 GMT| :  The foolish man seeks happiness in the distance, the wise grows it under his feet. - James Oppenheim
Quote on |Thu, 20 Jun 2024 21:51:09 GMT| :  It's easy to make a buck. It's a lot tougher to make a difference. - Tom Brokaw
Quote on |Thu, 20 Jun 2024 21:59:58 GMT| :  A garden is always a series of losses set against a few triumphs, like life itself. - May Sarton
Quote on |Thu, 20 Jun 2024 22:19:06 GMT| :  You give before you get. - Napoleon Hill
Quote on |Thu, 20 Jun 2024 22:30:50 GMT| :  Let us always meet each other with smile, for the smile is the beginning of love. - Mother Teresa
Quote on |Thu, 20 Jun 2024 22:39:54 GMT| :  The biggest room in the world is room for improvement. - Helmut Schmidt
Quote on |Thu, 20 Jun 2024 22:48:37 GMT| :  All I can say about life is, Oh God, enjoy it! - Bob Newhart
Quote on |Thu, 20 Jun 2024 22:57:27 GMT| :  You cannot change anything in your life with intention alone, which can become a watered-down, occasional hope that you'll get to tomorrow. Intention without action is useless. - Caroline Myss
